,Temperature,Latitude,Longitude,Humidity,Wind Speed,Cloud,Country,Date,City
151,62.4,58.3019,-134.4197,74,1.01,75,US,1627433523,juneau
152,62.38,46.7001,-75.4493,77,3.09,0,CA,1627433426,ferme-neuve
153,49.87,66.1451,-65.7125,72,2.77,100,CA,1627433446,pangnirtung
154,42.64,78.2186,15.6401,93,11.5,75,SJ,1627433285,longyearbyen
155,40.96,71.6872,128.8694,82,14.09,27,RU,1627433168,tiksi
156,70.83,-21.6403,-41.0511,85,15.93,0,BR,1627433516,sao joao da barra
157,77.25,55.1001,-105.2842,41,3.44,40,CA,1627433718,la ronge
158,65.28,-19.7625,-44.3139,39,3.31,5,BR,1627433718,esmeraldas
159,70.05,38.7333,-27.0667,94,6.67,75,PT,1627433719,praia da vitoria
160,54.52,67.8557,20.2251,76,0.0,75,SE,1627433719,kiruna
161,81.27,-6.7221,146.9847,59,2.48,42,PG,1627433719,lae
162,59.59,-35.3378,143.5544,58,20.24,8,AU,1627433719,swan hill
163,76.06,41.1415,-73.3579,77,1.01,75,US,1627433472,westport
164,45.03,-38.5473,-58.7368,65,22.82,100,AR,1627433671,necochea
165,53.6,-27.6146,-48.5012,67,9.22,75,BR,1627433637,florianopolis
166,60.21,52.7333,7.7667,89,9.89,98,DE,1627433720,loningen
167,79.57,58.0006,102.6619,41,0.72,0,RU,1627433720,ust-ilimsk
168,73.99,28.2333,83.9833,86,2.04,100,NP,1627433545,pokhara
169,50.23,70.4692,-68.5914,71,8.05,90,CA,1627433419,clyde river
170,85.89,15.2,101.1333,82,8.75,100,TH,1627433721,chai badan
171,73.58,7.7669,-72.225,95,1.5,25,VE,1627433155,san cristobal
172,43.68,70.9963,24.6622,90,5.84,95,NO,1627433721,havoysund
173,80.82,15.7432,-96.4661,86,0.56,97,MX,1627433721,pochutla
174,83.05,17.4924,44.1277,53,7.92,19,SA,1627433667,najran
175,77.05,-0.9492,100.3543,85,1.61,89,ID,1627433420,padang
176,42.12,77.484,-69.3632,96,6.24,99,GL,1627433165,qaanaaq
177,72.46,-20.2333,164.0167,59,14.83,11,NC,1627433449,poum
178,53.26,-22.9,44.5333,71,1.23,0,MG,1627433722,sakaraha
179,55.26,-34.7333,135.8667,61,26.53,8,AU,1627433663,port lincoln
180,64.31,15.1718,44.3244,68,2.44,55,YE,1627433722,sayyan
181,66.38,47.6666,-52.7314,96,19.57,90,CA,1627433429,torbay
182,66.69,-3.4833,23.4333,41,2.37,37,CD,1627433723,lodja
183,80.55,39.5009,-89.7679,82,3.49,0,US,1627433723,virden
184,84.4,37.2353,39.7631,30,10.25,0,TR,1627433439,viransehir
185,81.72,3.0707,172.7902,72,4.03,100,KI,1627433723,butaritari
186,69.69,29.5833,-9.5,71,2.06,0,MA,1627433624,tiznit
187,41.5,68.5333,146.4167,78,12.06,100,RU,1627433673,belaya gora
188,73.35,48.4001,-89.3168,64,6.91,20,CA,1627433724,thunder bay
189,82.78,16.5833,82.0167,68,9.33,99,IN,1627433724,amalapuram
190,71.65,23.45,79.7833,95,11.1,100,IN,1627433724,katangi
191,69.73,32.2994,-9.2372,93,13.15,65,MA,1627433619,asfi
192,78.57,-20.7333,139.5,41,11.5,0,AU,1627433725,mount isa
193,82.74,17.9583,-102.2,80,3.06,100,MX,1627433725,lazaro cardenas
194,86.52,39.2446,55.5154,20,8.03,2,TM,1627433390,gazanjyk
195,59.67,56.1138,10.1725,92,4.97,93,DK,1627433304,holme
196,74.17,-0.2202,100.6308,88,1.99,25,ID,1627433725,payakumbuh
197,89.94,13.9297,41.6925,63,2.21,36,ER,1627433726,edd
198,71.47,37.4966,61.9714,37,9.22,0,TM,1627433726,murgab
199,86.9,18.6853,12.9164,49,8.01,94,NE,1627433726,bilma
200,81.86,-9.1061,124.8925,49,2.95,86,ID,1627433357,atambua
201,35.55,-45.5752,-72.0662,93,2.3,0,CL,1627433623,coihaique
202,72.72,41.3712,-73.414,80,0.0,90,US,1627433493,bethel
203,82.47,35.5,134.2333,74,8.05,40,JP,1627433652,tottori
204,77.43,6.7533,-11.3686,80,12.97,100,LR,1627433411,robertsport
205,88.79,22.2855,114.1577,86,1.01,98,HK,1627432938,victoria
206,57.61,-28.7667,114.6,88,10.36,75,AU,1627433727,geraldton
207,76.73,40.2504,-76.2499,67,4.45,4,US,1627433674,lancaster
208,53.6,69.4541,-133.0374,71,6.91,75,CA,1627433240,tuktoyaktuk
209,63.66,36.6177,-121.9166,82,4.0,20,US,1627433185,pacific grove
210,78.91,13.35,-15.75,77,7.96,81,GM,1627433728,nioro
211,82.09,16.8634,-99.8901,79,4.38,75,MX,1627433462,acapulco
212,70.11,-0.2167,20.8667,45,2.17,17,CD,1627433728,boende
213,49.12,62.1564,-7.1664,100,8.05,90,FO,1627433644,vestmanna
214,77.68,-16.4833,-151.75,75,9.19,30,PF,1627433729,faanui
215,81.97,13.6017,26.6876,59,10.2,100,SD,1627433669,umm kaddadah
216,63.82,43.4647,-3.8044,92,5.99,90,ES,1627433729,santander
217,83.03,20.8947,-156.47,71,19.57,40,US,1627433500,kahului
218,84.49,14.3,-91.9167,75,4.07,17,GT,1627433729,champerico
219,63.12,18.3851,42.4509,81,5.01,88,SA,1627433682,faya
220,82.02,30.3833,113.4,80,12.88,16,CN,1627433730,xiantao
221,67.51,-21.3393,55.4781,77,10.36,90,RE,1627433668,saint-pierre
222,46.98,-33.3667,116.15,90,6.69,95,AU,1627433730,collie
223,33.93,69.3833,178.4167,97,9.66,100,RU,1627433431,leningradskiy
224,42.28,-38.3739,-60.2798,75,17.27,95,AR,1627433731,tres arroyos
225,76.33,5.8808,-10.0467,80,8.55,100,LR,1627433583,buchanan
226,61.43,58.2452,32.5165,82,5.55,100,RU,1627433731,kresttsy
227,68.68,62.2167,135.8,47,11.14,54,RU,1627433731,dzhebariki-khaya
228,70.9,47.4408,29.5599,56,6.44,63,UA,1627433732,mayaky
229,77.94,-2.9248,-39.9167,82,14.88,13,BR,1627433445,itarema
230,77.07,50.1001,-91.917,44,0.0,40,CA,1627433446,sioux lookout
231,87.33,26.4815,-97.7831,59,9.91,90,US,1627433732,raymondville
232,63.21,46.844,74.9804,39,17.9,0,KZ,1627433732,balkhash
233,74.39,-4.9667,39.8333,80,14.54,2,TZ,1627433259,micheweni
234,56.77,-25.4,-70.4833,77,3.09,2,CL,1627433291,taltal
235,51.98,-41.4122,175.5153,64,2.21,0,NZ,1627433733,waipawa
236,69.39,5.7556,7.1063,95,3.51,83,NG,1627433733,nkwerre
237,45.81,60.2776,47.0659,88,3.98,12,RU,1627433734,podosinovets
238,95.95,37.1041,-113.5841,24,1.01,1,US,1627433183,saint george
239,81.95,-2.6833,111.6167,75,4.65,87,ID,1627433516,pangkalanbuun
240,41.95,68.7098,-52.8699,83,6.71,100,GL,1627433411,aasiaat
241,92.16,31.0982,-97.3428,49,6.49,0,US,1627433517,temple
242,100.29,22.6783,-3.9836,9,9.33,98,ML,1627433573,taoudenni
243,77.54,4.1363,96.1285,88,3.33,77,ID,1627433734,meulaboh
244,51.37,-32.7217,25.588,40,6.04,0,ZA,1627433652,somerset east
245,41.81,-43.3002,-65.1023,68,15.28,22,AR,1627433448,rawson
246,48.06,69.2167,-51.1,79,7.65,100,GL,1627433405,ilulissat
